station,name,latitude,longitude,center
KMQY,SMYRNA,36.00897,-86.52008,KOHX
KMRB,MARTINSBURG RGNL,39.4019,-77.98467,KLWX
KMRY,MONTEREY PENINSULA,36.59037195,-121.84879526,KMTR
KMSL,MUSCLE SHOALS RGNL,34.74385,-87.59962,KHUN
KMSN,MADISON,43.14056,-89.34528,KMKX
KMSO,MISSOULA/BELL FIELD,46.9208,-114.0925,KMSO
KMSP,MINNEAPOLIS,44.88537,-93.23131,KMPX
KMSS,MASSENA/RICHARDS,44.93583,-74.84556,KBTV
KMSY,NEW ORLEANS/MOISANT,29.9933,-90.2511,KLIX
KMTH,MARATHON,24.72619,-81.05136,KKEY
KMTJ,MONTROSE CO. ARPT,38.505,-107.8975,KGJT
KMTN,BALTIMORE/MARTIN,39.32567,-76.41378,KLWX
KMTW,MANITOWAC MUNI,44.12878,-87.68058,KGRB
KMVN,MOUNT VERNON,38.32333,-88.85833,KPAH
KMWH,MOSES LAKE/GRANT CO,47.20858,-119.31914,KOTX
KMYL,MC CALL,44.88889,-116.10167,KBOI
KMYR,MYRTLE BEACH(CIV),33.68,-78.93,KILM
KNEW,NEW ORLEANS/LAKEFRO,30.04239,-90.02825,KLIX
KOAJ,JACKSONVILLE_(AWOS),34.82916,-77.61214,KMHX
KOAK,OAKLAND,37.72128,-122.22072,KMTR
KOFK,NORFOLK,41.98546,-97.43511,KOAX
KOGB,ORANGEBURG,33.4568,-80.8595,KCAE
KOGD,OGDEN-HINCKLEY MUNI,41.19567,-112.01294,KSLC
KOKC,OKLAHOMA CITY,35.3889,-97.6006,KOUN
KOLF,WOLF POINT INTL,48.09452,-105.57505,KGGW
KOLM,OLYMPIA,46.9733,-122.9033,KSEW
KOLS,NOGALES INTL AIRPORT,31.42083,-110.84583,KTWC
KOMA,OMAHA/EPPLEY,41.31028,-95.89917,KOAX
KONO,ONTARIO MUNICIPAL,44.02056,-117.01278,KBOI
KONP,NEWPORT MUNICIP,44.58036,-124.05792,KPQR
KONT,ONTARIO INTL ARPT,34.056,-117.60119,KSGX
KOPF,MIAMI/OPA LOCKA,25.91017,-80.28283,KMFL
KORD,CHICAGO O HARE,41.98754,-87.93193,KLOT
KORF,NORFOLK INTL ARPT,36.90333,-76.19222,KAKQ
KORH,WORCESTER (AMOS),42.26734,-71.87571,KBOX
KOTH,NORTH BEND,43.419462,-124.243737,KMFR
KOTM,OTTUMWA,41.100793,-92.444592,KDMX
KOUN,NORMAN/WESTHEIMER,35.24352,-97.47077,KOUN
KOWB,OWENSBORO/DAVIESS,37.73883,-87.16683,KPAH
KOXR,OXNARD,34.20081,-119.20722,KLOX
KPAE,EVERETT - PAINE FIELD,47.90699,-122.28157,KSEW
KPAH,PADUCAH/BARKLEY,37.0563,-88.7744,KPAH
KPBF,PINE BLUFF/GRIDER,34.175,-91.93472,KLZK
KPBG,PLATTSBURGH AFB,44.63817704,-73.46236789,KBTV
KPBI,WEST PALM BEACH,26.6847,-80.0994,KMFL
KPDK,ATLANTA/DEKALB,33.87561,-84.30197,KFFC
KPDT,PENDLETON MUNICIPAL,45.69506,-118.84144,KPDT
KPDX,PORTLAND INTL ARPT,45.59083,-122.60028,KPQR
KPEQ,PECOS,31.38,-103.51,KMAF
KPGA,PAGE MUNI (AMOS),36.92608,-111.44836,KFGZ
KPGD,PUNTA GORDA,26.91722,-81.99139,KTBW
KPGV,PITT-GREENVILLE_APRT,35.63525,-77.38531,KMHX
KPHF,NEWPORT NEWS,37.13189,-76.49297,KAKQ
KPHL,PHILADELPHIA INTL,39.87335377,-75.22662535,KPHI
KPHX,PHOENIX/SKY HARBOR,33.43428,-112.01158,KPSR
KPIA,PEORIA,40.6675,-89.6839,KILX
KPIB,PINE BELT RGNL AWOS,31.46714,-89.33706,KJAN
KPIE,SAINT PETERSBURG,27.91,-82.68742,KTBW
KPIH,POCATELLO MUNICIPAL,42.90981,-112.59592,KPIH
KPIR,PIERRE,44.38269,-100.28597,KABR
KPIT,PITTSBURGH INTL,40.49147,-80.23286,KPBZ
KPKB,PARKERSBURG,39.33948267,-81.44378792,KRLX
KPLN,PELLSTON,45.57092,-84.79672,KAPX
KPMD,PALMDALE PRODUCTION,34.62939,-118.08455,KLOX
KPNA,PINEDALE/RALPH WENZ FIELD,42.79547,-109.80708,KRIW
KPNC,PONCA CITY MUNI,36.73,-97.1,KOUN
KPNE,PHILADELPHIA NE,40.0789,-75.01335,KPHI
KPNS,PENSACOLA REGIONAL,30.47806,-87.18694,KMOB
KPOU,POUGHKEEPSIE,41.62658,-73.88419,KALY
KPQI,PRESQUE ISLE (AWOS),46.68897,-68.04481,KCAR
KPRB,PASO ROBLES,35.66941237,-120.62912921,KLOX
KPRC,PRESCOTT/LOVE FLD,34.65,-112.42,KFGZ
KPSC,PASCO/TRI-CITIES,46.26469,-119.11903,KPDT
KPSF,PITTSFIELD MUNI,42.42722,-73.28917,KALY
KPSM,PEASE AFB/PORTSMOUT,43.07794,-70.82328,KGYX
KPSP,PALM SPRINGS RGNL,33.82967,-116.50669,KSGX
KPTK,PONTIAC,42.6655,-83.42008,KDTX
KPUB,PUEBLO MEMORIAL(AW),38.29,-104.49833,KPUB
KPUW,PULLMAN/MOSCOW RGNL,46.74386,-117.10958,KOTX
KPVD,PROVIDENCE/GREEN,41.7219,-71.4325,KBOX
KPVU,PROVO MUNI (AWOS),40.21919,-111.72336,KSLC
KPVW,PLAINVIEW,34.16815,-101.71734,KLUB
KPWM,PORTLAND INTL JET,43.64243,-70.30442,KGYX
KPWT,BREMERTON NTNL AWOS,47.49025,-122.76481,KSEW
KRAP,RAPID CITY,44.04533,-103.05736,KUNR
KRBG,ROSEBURG MUNICIPAL,43.23878,-123.35586,KMFR
KRBL,RED BLUFF MUNICIPAL,40.1519,-122.2536,KSTO
KRDD,REDDING MUNICIPAL,40.509,-122.29339,KSTO
KRDG,READING/SPAATZ FLD,40.3785,-75.96525,KPHI
KRDM,REDMOND (AWOS),44.25389,-121.15,KPDT
KRDU,RALEIGH / DURHAM,35.8922,-78.7819,KRAH
KRFD,ROCKFORD,42.19150564,-89.08759937,KLOT
KRGA,RICHMOND,37.6315,-84.3324,KLMK
KRHI,RHINELANDER,45.63119,-89.46747,KGRB
KRIC,RICHMOND/BYRD FIELD,37.5115,-77.32336,KAKQ
KRIL,RIFLE/GARFIELD RGNL,39.52631,-107.72694,KGJT
KRIW,RIVERTON,43.06423,-108.45984,KRIW
KRKD,ROCKLAND/KNOX(AWOS),44.06007,-69.09926,KGYX
KRKS,ROCK SPRINGS,41.59422,-109.06519,KRIW
KRME,GRIFFISS AFB / ROME,43.22386641,-75.3952712,KBGM
KRNH,NEW RICHMOND MUN,45.14831,-92.53806,KMPX
KRNO,RENO/CANNON INTL,39.48389,-119.77111,KREV
KROA,ROANOKE MUNI,37.31724016,-79.97367916,KRNK
KROC,ROCHESTER/MONROE CO,43.1167,-77.6767,KBUF
KROG,ROGERS (AWOS),36.37242,-94.10697,KTSA
KROW,ROSWELL/INDUSTRIAL,33.3,-104.53,KABQ
KRSL,RUSSELL,38.87212,-98.81177,KICT
KRST,ROCHESTER,43.9041,-92.4916,KARX
KRSW,FT MYERS/SW FLORIDA,26.53806,-81.75673,KTBW
KRUT,RUTLAND STATE(AWOS),43.53,-72.95,KBTV
KRVS,TULSA/LLOYD JONES,36.03961,-95.98464,KTSA
KRWF,REDWOOD FALL,44.54689,-95.082,KMPX
KRWI,ROCKY_MOUNT-WILSON_(ASOS),35.85625,-77.89193,KRAH
KRWL,RAWLINS MUNICIPAL,41.8056,-107.19994,KCYS
KRYY,MARIETTA,34.01306,-84.59861,KFFC
KSAC,SACRAMENTO/EXECUTIV,38.5069,-121.495,KSTO
KSAF,SANTA FE CO. MUNI,35.61711,-106.08942,KABQ
KSAN,SAN DIEGO/LINDBERG,32.73392,-117.18449,KSGX
KSAT,SAN ANTONIO INTL,29.53369,-98.46978,KEWX
KSAV,SAVANNAH - HILTON HEAD,32.13136751,-81.20230227,KCHS
KSAW,GWINN/SAWYER AFB,46.35364,-87.39536,KMQT
KSBA,SANTA BARBARA MUNI,34.42611,-119.84361,KLOX
KSBD,SAN BERNARDINO,34.0953521,-117.2348722,KSGX
KSBM,SHEBOYGAN,43.76977,-87.85172,KMKX
KSBN,SOUTH BEND,41.70722,-86.31639,KIWX
KSBP,SAN LUIS OBISPO,35.23809025,-120.64408212,KLOX
KSBY,SALISBURY REGIONAL,38.3405,-75.5103,KAKQ
KSCK,STOCKTON METRO,37.89417,-121.23831,KSTO
KSDF,LOUISVILLE INTL,38.17738097,-85.7307643,KLMK
KSDL,SCOTTSDALE MUNI,33.62289,-111.91053,KPSR
KSDY,SIDNEY-RICHLAND,47.70686,-104.19256,KGGW
KSEA,SEATTLE-TACOMA INTL,47.44469,-122.31437,KSEW
KSEZ,SEDONA,34.8485833,-111.7884444,KFGZ
KSFB,SANFORD/ORLANDO,28.77972,-81.24361,KMLB
KSFF,SPOKANE/FELTS FIELD,47.68282,-117.32256,KOTX
KSFO,SAN FRANCISCO INTL,37.61897,-122.37489,KMTR
KSGF,SPRINGFIELD,37.2397,-93.3897,KSGF
KSGJ,ST AUGUSTINE AIRPT,29.95925,-81.33972,KJAX
KSGR,HOUSTON/HULL FIELD,29.62225,-95.65653,KHGX
KSGU,ST GEORGE,37.0363889,-113.5103056,KSLC
KSHR,SHERIDAN CO. ARPT,44.77,-106.97,KBYZ
KSHV,SHREVEPORT REGIONAL,32.4472,-93.8244,KSHV
KSJC,SAN JOSE INTL A,37.3594,-121.92442,KMTR
KSJS,BIG SANDY,37.751,-82.6367,KJKL
KSJT,SAN ANGELO/MATHIS,31.35167,-100.495,KSJT
KSLC,SALT LAKE CITY INTL,40.78,-111.97,KSLC
KSLE,SALEM/MCNARY,44.90953,-123.0025,KPQR
KSLK,SARANAC LAKE/ADIRON,44.38531,-74.20619,KBTV
KSLN,SALINA,38.79097,-97.65217,KICT
KSME,SOMERSET(AWOS),37.05358,-84.61564,KJKL
KSMF,SACRAMENTO METRO,38.69542,-121.59078,KSTO
KSMN,SALMON/LEMHI (AWOS),45.12378,-113.88133,KMSO
KSMO,SANTA MONICA MUNI,34.021,-118.44708,KLOX
KSMX,SANTA MARIA PUBLIC,34.9,-120.45,KLOX
KSNA,SANTA ANA/JON-WAYNE,33.67567,-117.86822,KSGX
KSNS,SALINAS,36.66349133,-121.60927236,KMTR
KSNY,SIDNEY,41.10139,-102.98472,KCYS
KSOA,SONORA MUNI,30.58569,-100.64856,KSJT
KSPI,SPRINGFIELD,39.8447,-89.6839,KILX
KSPS,WICHITA FALLS/SHEP,33.9786,-98.4928,KOUN
KSRB,SPARTA,36.0559,-85.5307,KOHX
KSRQ,SARASOTA-BRADENTON,27.40139,-82.55861,KTBW
KSSF,SAN ANTONIO/STINSON,29.33698,-98.47105,KEWX
KSSI,BRUNSWICK/MALCOLM,31.15222,-81.39083,KJAX
KSTC,ST. CLOUD,45.5433,-94.0513,KMPX
KSTJ,ST. JOSEPH,39.77194,-94.90971,KEAX
KSTL,ST. LOUIS,38.75245,-90.3734,KLSX
KSTS,SANTA ROSA,38.50373343,-122.81097563,KMTR
KSUA,WITHAM FIELD AIRPORT/STUART,27.18,-80.22,KMLB
KSUN,HAILEY/FRIEDMAN MEM,43.50378,-114.29555,KPIH
KSUS,ST. LOUIS/SPIRIT,38.65722,-90.65583,KLSX
KSUX,SIOUX CITY,42.391678,-96.379478,KFSD
KSWF,NEWBURGH/STEWART,41.50411,-74.10483,KOKX
KSWO,STILLWATER MUNI,36.16122,-97.08569,KOUN
KSYM,FLEMING,38.215,-83.5874,KJKL
KSYR,SYRACUSE/HANCOCK,43.11119,-76.10631,KBGM
KTCC,TUCUMCARI MUNICIPAL,35.18278,-103.60319,KABQ
KTCL,TUSCALOOSA MUNI,33.2119,-87.6161,KBMX
KTCS,TRUTH OR CONSEQUENC,33.23667,-107.26806,KEPZ
KTEB,TETERBORO AIRPORT,40.85899,-74.05616,KOKX
KTEX,TELLURIDE REGIONAL,37.95376,-107.90848,KGJT
KTIX,TITUSVILLE,28.5148,-80.79923,KMLB
KTLH,TALLAHASSEE RGNL,30.39354,-84.35135,KTAE
KTMB,MIAMI/KENDALL-TAMIA,25.64227,-80.43467,KMFL
KTOL,TOLEDO,41.58861,-83.80139,KCLE
KTOP,TOPEKA (TOP),39.07,-95.62,KTOP
KTPA,TAMPA INTL AIRPORT,27.9619,-82.5403,KTBW
KTPH,TONOPAH AIRPORT,38.05052,-117.09043,KLKN
KTRI,BRISTOL/TRI-CITY,36.47522,-82.40742,KMRX
KTRK,TRUCKEE-TAHOE,39.32004,-120.13956,KREV
KTRM,THERMAL AIRPORT,33.62667,-116.15967,KSGX
KTTD,PORTLAND - TROUTDALE,45.55101172,-122.40983682,KPQR
KTTN,TRENTON/MERCER CO.,40.27682,-74.81588,KPHI
KTUL,TULSA INTL ARPT(AW),36.19839,-95.88811,KTSA
KTUP,TUPELO/C.D. LEMONS,34.26083,-88.77111,KMEG
KTUS,TUCSON INTL AIRPORT,32.12027,-110.93798,KTWC
KTVC,TRAVERSE CIT,44.74164,-85.58236,KAPX
KTVF,THIEF RIVER,48.06567,-96.185,KFGF
KTVL,SOUTH LAKE TAHOE,38.89388,-119.99534,KREV
KTWF,TWIN FALLS/JOSLIN,42.48181,-114.48775,KBOI
KTXK,TEXARKANA RGNL/WEBB,33.45372,-93.99103,KSHV
KTYR,TYLER/POUNDS FLD,32.35414,-95.40239,KSHV
KTYS,KNOXVILLE MUNICIPAL,35.8181,-83.9858,KMRX
KUAO,AURORA STATE,45.25,-122.77,KPQR
KUES,WAUKESHA CNTY,43.04103,-88.23706,KMKX
KUIN,QUINCY,39.94285,-91.19458,KLSX
KUKI,UKIAH,39.1258,-123.2008,KEKA
KUNV,STATE COLLEGE,40.85,-77.85,KCTP
KUTS,HUNTSVILLE MUNICIPAL AIRPORT,30.74689,-95.58717,KHGX
KVCT,VICTORIA REGIONAL,28.8614,-96.9303,KCRP
KVEL,VERNAL,40.44092,-109.50992,KGJT
KVGT,NORTH LAS VEGAS,36.21069,-115.19444,KVEF
KVIS,VISALIA MUNI (AWOS),36.31867,-119.39289,KHNX
KVLD,VALDOSTA REGIONAL,30.7825,-83.27667,KTAE
KVNY,VAN NUYS AIRPORT,34.20972,-118.48917,KLOX
KVQQ,JACKSONVILLE VQQ,30.2186892,-81.8767178,KJAX
KVRB,VERO BEACH MUNI,27.65556,-80.41794,KMLB
KVTN,VALENTINE,42.85669,-100.54894,KLBF
KWJF,LANCASTER/FOX FIELD,34.74106,-118.21864,KLOX
KWMC,WINNEMUCCA MUNI,40.90194,-117.80722,KLKN
KWRL,WORLAND MUNICIPAL,43.96571,-107.95083,KRIW
KWWR,WEST WOODWARD,36.438,-99.52267,KOUN
KXNA,NORTHWEST ARKANSAS REGIONAL APT,36.282,-94.307,KTSA
KXWA,WILLISTON BASIN,48.259722,-103.7505,KBIS
KYIP,DETROIT/WILLOW,42.23793,-83.53041,KDTX
KYKM,YAKIMA AIR TERMINAL,46.56817,-120.54406,KPDT
KYNG,YOUNGSTOWN,41.25444,-80.67389,KCLE
KZZV,ZANESVILLE,39.94445,-81.89209,KPBZ
NSTU,PAGO PAGO,-14.331,-170.7105,PHFO
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871,PAFC
PABE,BETHEL AIRPORT (ASOS),60.78583,-161.82639,PAFC
PABR,BARROW/POST-ROGERS (ASOS),71.28257,-156.79224,PAFG
PABT,BETTLES FIELD,66.9165,-151.5189,PAFG
PACD,COLD BAY,55.220673,-162.732291,PAFC
PACV,CORDOVA/MILE 13,60.48889,-145.45111,PAFC
PADL,DILLINGHAM (AMOS),59.04467,-158.5055,PAFC
PADQ,KODIAK (ASOS),57.74997,-152.49386,PAFC
PADU,DUTCH HARBOR,53.90014,-166.5435,PAFC
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,PAFC
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,PAFG
PAGA,GALENA AIRPORT,64.73618,-156.93742,PAFG
PAGK,GULKANA ARPT (ASOS),62.1602,-145.457,PAFC
PAGS,GUSTAVUS,58.42528,-135.70742,PAJK
PAGY,SKAGWAY,59.45382809,-135.32771385,PAJK
PAHN,HAINES,59.242855,-135.511662,PAJK
PAHO,HOMER MUNICIPAL (ASOS),59.64556,-151.47658,PAFC
PAIL,ILIAMNA ARPT (ASOS),59.74917,-154.90917,PAFC
PAJN,JUNEAU INTL AIRPORT (ASOS),58.35497,-134.57628,PAJK
PAKN,KING SALMON (ASOS),58.68361,-156.65389,PAFC
PAKT,KETCHIKAN INTL ARPT (ASOS),55.35667,-131.71167,PAJK
PAKW,KLAWOCK (ASOS),55.57923,-133.076,PAJK
PAMC,MCGRATH (ASOS),62.95278,-155.60704,PAFG
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611,PAFC
PAOM,NOME (ASOS),64.5122,-165.44525,PAFG
PAOR,NORTHWAY (ASOS),62.96139,-141.92917,PAFG
PAOT,KOTZEBUE / WIEN,66.88572,-162.606786,PAFG
PAPG,PETERSBURG,56.7999,-132.9501,PAJK
PAQT,NUIQSUT (ASOS),70.20995,-151.00556,PAFG
PASC,DEADHORSE (ASOS),70.19475,-148.46517,PAFG
PASD,SAND POINT,55.31369,-160.52142,PAFC
PASI,SITKA/JAPONSKI ARPT (ASOS),57.04714,-135.36161,PAJK
PASN,SAINT PAUL ISLAND (ASOS),57.15528,-170.22222,PAFC
PATA,TANANA - CALHOUN MEMORIAL,65.173,-152.106,PAFG
PATK,TALKEETNA (ASOS),62.32,-150.095,PAFC
PAUN,UNALAKLEET (AWOS),63.8885,-160.79911,PAFG
PAVD,VALDEZ,61.134,-146.248,PAFC
PAWG,WRANGELL,56.48433,-132.36983,PAJK
PAYA,YAKUTAT,59.51209,-139.67103,PAJK
PGRO,ROTA,14.1743,145.2425,PGUM
PGSN,SAIPAN,15.119,145.72936,PGUM
PGUM,AGANA,13.4838738,144.7971703,PGUM
PGWT,WEST TINIAN,14.9992,145.6193,PGUM
PHJH,LAHAINA/WEST_MAUI,20.963,-156.67479,PHFO
PHJR,KALAELOA_AIRPORT,21.30735,-158.0703,PHFO
PHKO,KEAHOLE_POINT/KONA_(ASOS),19.73877,-156.04563,PHFO
PHLI,LIHUE,21.97847346,-159.33940352,PHFO
PHMK,MOLOKAI_(ASOS),21.15289,-157.09626,PHFO
PHNL,HONOLULU,21.31868,-157.92243,PHFO
PHNY,LANAI_CITY_AIRPORT,20.78561,-156.95142,PHFO
PHOG,KAHULUI,20.88891481,-156.434433,PHFO
PHTO,HILO/LYMAN_FIELD_(ASOS),19.72026,-155.04847,PHFO
PKMJ,MAJURO,7.08333,171.38333,PGUM
PKWA,KWAJALEIN,8.7201222,167.7316611,PGUM
PMDY,SAND ISLAND,28.20819,-177.37564,PHFO
PTKK,CHUUK,7.46187,151.84301,PGUM
PTPN,POHNPEI,6.9619,158.2067,PGUM
PTRO,BABELTHUAP,7.3673,134.54428,PGUM
PTSA,KOSRAE,5.3524,162.9557,PGUM
PTYA,YAP,9.4833333333,138.083333333,PGUM
TIST,ST. THOMAS,18.3373056,-64.9733611,TJSJ
TISX,ST. CROIX ISLAND,17.7,-64.804722222,TJSJ
TJBQ,AGUADILLA,18.49486,-67.12944,TJSJ
TJMZ,MAYAGUEZ,18.25569,-67.14847,TJSJ
TJPS,PONCE,18.00831,-66.56303,TJSJ
TJSJ,SAN JUAN,18.4325,-66.01083,TJSJ
